product_url,product_title,product_price,product_description
https://deuscustoms.eu/products/venice-address-white,Venice Address,€49.00 EUR,"The Venice Address is a part of the Deus Ex Machina Classics Collection.This men's regular fit white tee features an original Deus front and back panel print on soft 190gsm cotton jersey.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney.Wash Care:Gentle machine wash (30 degrees) with similar colours. Wash inside out, do not tumble dry. Iron print on reverse."
https://deuscustoms.eu/products/the-landie-tee-black,The Landie Tee,€49.00 EUR,The Landie tee is a part of the Deus Classics collection.Regular Fit Tee Features:- Front and Back Address Prints- 190Gm Oe 100% Cotton Jersey Fabrication- Garment Wash
https://deuscustoms.eu/products/deus-logo-tee-white,Deus Pocket Logo Tee,€49.00 EUR,"Part of the Deus Ex Machina Classic collection.This regular fit pigment dyed tee features a classic Deus circle logo pocket print, with 190gm combed cotton jersey and an enzyme wash.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/circle-logo-trucker-black-white,Circle Logo Trucker Hat,€39.00 EUR,"Classic trucker cap with front embroidery. polyester interlock and mesh fabrication withback snap adjuster.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/tokyo-address-4,Tokyo Address,€49.00 EUR,"Part of the Deus Ex MachinaClassics collection.A standard-fit Deus Tokyo Address tee, constructed from 20/1s 190gsm cotton jersey.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/pill-trucker-red-navy,Pill Trucker,€39.00 EUR,"Before carabiners became the definitive belt-loop accessory, the trucker cap was #1 in the ad-hoc waist decoration game, hanging off the back of blue-collar behinds across the globe. Turns out, they also look pretty nifty on top of one's head.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/the-kr-tee-navy,The Kr Tee,€49.00 EUR,The KR tee is a part of the Deus Classics collection.Regular Fit Tee Features:- Front and Back Address Prints- 190Gm Oe 100% Cotton Jersey Fabrication- Garment Wash
https://deuscustoms.eu/products/tokyo-address-3,Tokyo Address,€49.00 EUR,"Part of the Deus Ex Machina Classics collection.A standard-fit Deus Camperdown Address tee, made from 20/1s 190gsm cotton jersey.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/milano-address-tee-white,Milano Address Tee,€49.00 EUR,"Part of the Deus Ex Machina Classics collection.This regular fit pocket tee features front and back address prints, a soft wash and comfortable 180gsm combed cotton jersey construction.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/milano-address-tee-black,Milano Address Tee,€49.00 EUR,"Part of the Deus Ex Machina Classics collection.This regular fit pocket tee features front and back address prints, a soft wash and comfortable 180gsm combed cotton jersey construction.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/ibiza-address-pocket-tee-1,Ibiza Address Pocket Tee,€49.00 EUR,"The Ibiza Address is a part of the Deus Ex Machina Classics Collection.This regular fit tee features:● Deus shield on chest● Camperdown flagship address on back●20/1s 190gsm cotton jersey fabricationDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/frontal-matchless-tee-black,Frontal Matchless Tee,€49.00 EUR,"Part of the Deus Ex Machina Classics Collection.A 150gsm cotton jersey tee in our signature Rocker Fit, screen-printed with original Deus artwork.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/baylands-trucker-black-white,Baylands Trucker Hat,€34.00 EUR,"Classic trucker cap with front shield embroidery. polyester interlock and mesh fabrication with back snap adjuster.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/pisstin-tee-black,Pisstin Tee,€49.00 EUR,Regular fit t-shirt with artwork on chest and back. 190gm organic cotton jersey fabrication with a garment wash
https://deuscustoms.eu/products/baylands-trucker-blue-navy,Baylands Trucker Hat,€34.00 EUR,"Classic trucker cap with front shield embroidery. polyester interlock and mesh fabrication with back snap adjuster.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/venice-address-tee-grey-marle,Venice Pocket Tee,€49.00 EUR,"Part of the Deus Ex Machina Classic Collection.This men's regular fit white tee features an original Deus front and back panel print on soft 150gsm Cotton Jersey.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/venice-address-tee-white,Venice Pocket Tee,€49.00 EUR,"Part of the Deus Ex MachinaClassics collection.This regular fit pocket tee features front and back address prints, a soft wash and comfortable 180gsm combed cotton jersey construction.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/milano-address-hoodie-black,Milano Address Hoodie,€129.00 EUR,"Part of the Deus Ex Machina Classics collection.A standard-fit pullover hoodie with Deus Milano Address print, made from 32/2s + 12/1s 350gm cotton brushed-back fleece.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/carby-landie-tee-forest-green,Carby Landie Tee,€49.00 EUR,"-Regular Fit T-Shirt With Front And Back Prints-160gm Oe Cotton Jersey Fabrication With Enzyme Wash-Wash Care: gentle machine wash with similar colors, wash inside out, iron print on reverse"
https://deuscustoms.eu/products/milano-address-trucker-black,Milano Address Trucker Hat,€39.00 EUR,"Part of the Deus Ex Machina Address collection.Nylon mesh on the back, padding with the Deus Milano address embroidered up front. Adult adjustable, one size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/tokyo-coach-black,Tokyo Coach Jacket,€119.00 EUR,"Part of the Deus Ex Machina Classics collection.This regular fit coach jacket features a Deus Shield print on front, Tokyo address on back and a drawcord hem, with sleek 100% nylon fabrication.The perfect windbreaker for whipping up a storm.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/biarritz-address-long-sleeve-tee-white,Biarritz Address Long Sleeve Tee,€59.00 EUR,"The Biarritz Long Sleeve Tee is a part of theDeus Ex Machina Classics collection.This regular fit long sleeve tee features our classic Deus shield logo on front, and Ibiza flagship address on back, with 20/1's 190gm cotton jersey fabrication and a garment wash.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/all-caps-moto-jersey-black,All Caps Moto Jersey,€79.00 EUR,"The All Caps Moto Jersey is a part of the Deus Ex Machina Classic Collection.This regular fit long sleeve moto jersey features:● A chest panel with classic Deus print● 100% cotton mesh fabrication● A garment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/frontal-matchless-tee-grey-marle,Frontal Matchless Tee,€49.00 EUR,"Part of the Deus Ex Machina Classics Collection.A 150gsm cotton jersey tee in our signature Rocker Fit, screen-printed with original Deus artwork.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/sunrise-dad-cap-black,Sunrise Dad Cap,€39.00 EUR,"Classic 6 Panel Dad Cap With Front And Back Embroidered Artwork, In100% Cotton Twill With Enzyme Wash"
https://deuscustoms.eu/products/all-caps-tee-navy,All Caps Tee,€49.00 EUR,"Regular Fit T-Shirt, Classic Chest Print, 190gm Oe 100% Cotton Jersey With Garment Wash."
https://deuscustoms.eu/products/redline-trucker-black,Redline Trucker,€39.00 EUR,"Classic Trucker Cap With Front Embroidered Patch, Back Embroidered ArtIn Poly Interlock And Polyester Mesh Fabric With Plastic Snap Adjuster"
https://deuscustoms.eu/products/baylands-trucker-blue-red,Baylands Trucker Hat,€34.00 EUR,"Classic trucker cap with front shield embroidery. polyester interlock and mesh fabrication with back snap adjuster.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/diamond-trucker-black-white,Diamond Trucker,€34.00 EUR,Classic trucker cap with front embroidery. polyester interlock and mesh fabrication withback snap adjuster.
https://deuscustoms.eu/products/shield-beanie-navy,Shield Beanie,€39.00 EUR,"Part of the Deus Ex Machina Classic collection.This solid colour acrylic knit beanie features an embroidered Deus shield patch.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/venice-address-trucker-black,Venice Address Trucker Hat,€39.00 EUR,"Part of the Deus Ex Machina Address collection.Nylon mesh on the back, padding with the Deus Venice address embroidered up front. Adult adjustable, one size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/canggu-address-trucker-black,Canggu Address Trucker Hat,€39.00 EUR,"Part of the Deus Ex Machina Classics collection.As classic as you can get, the truckies crown. First handed out by farmers and rural types to spruik their goods, the trucker cap quickly became the uniform of the highwayhauler, gassy and grease monkey.Nylon mesh on the back, padding with embroidered Deus artwork up front. Adult adjustable, one size fits most.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/ride-out-tee-black,Ride Out Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.Fabrication150gsm 100% Organic Combed Cotton Jersey"
https://deuscustoms.eu/products/water-bottle,Deus Logo Bottle,€39.00 EUR,"All Deus Ex Machina x Mizu V 6-series bottles are made with a double-wall vacuum insulated construction. Basically, this keeps your hot drinks hot and your cold drinks cold.The stainless steel body is incredibly tough, so you can take it anywhere with peace of mind stainless steel also makes for easy cleaning and maintenace, ensuring you won't be tasting last weeks banana smoothie you let sit for a few days before cleaning.A great alternative to single use plastic bottles, Deus Mizu bottles are perfect for any kind of drinks - from coffee to beer, whiskey and milk - fill it up however you please."
https://deuscustoms.eu/products/sunrise-dad-cap-dirty-white,Sunrise Dad Cap,€39.00 EUR,"Classic 6 Panel Dad Cap With Front And Back Embroidered Artwork, In100% Cotton Twill With Enzyme Wash"
https://deuscustoms.eu/products/shield-beanie-black,Shield Beanie,€39.00 EUR,"Part of the Deus Ex Machina Classic collection.This solid colour acrylic knit beanie features an embroidered Deus shield patch.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/ibiza-address-tee-white,Ibiza Address Tee,€49.00 EUR,"Regular fit t-shirt with artwork on chest and back. 190gm organic cotton jersey fabrication with a garment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/circle-logo-hoodie-grey-marle,Circle Logo Hoodie,€119.00 EUR,The Circle Logo hoodie is a part of the Deus Classics collection.Regular Fit Zip Hoodie Features:- Deus Circle Logo Print- 350gm cotton brushed back fleece fabrication
https://deuscustoms.eu/products/stripes-trucker-trek-green,Stripes Trucker,€39.00 EUR,"Classic Trucker Cap With Front Embroidered Patch Back Embroidered Art,100% Cotton Canvas And Poly Mesh Fabric With Plastic Snap Adjuster"
https://deuscustoms.eu/products/water-bottle-deus-bike,Deus Bike Bottle,€39.00 EUR,"All Deus Ex Machina x Mizu V6-series bottles are made with a double-wall vacuum insulated construction. Basically, this keeps your hot drinks hot and your cold drinks cold.The stainless steel body is incredibly tough, so you can take it anywhere with peace of mind stainless steel also makes for easy cleaning and maintenace, ensuring you won't be tasting last weeks banana smoothie you let sit for a few days before cleaning.A great alternative to single use plastic bottles, Deus Mizu bottles are perfect for any kind of drinks - from coffee to beer, whiskey and milk - fill it up however you please."
https://deuscustoms.eu/products/the-a100-tee-navy,The A100 Tee,€49.00 EUR,The A100 tee is a part of the Deus Classics collection.Regular Fit Tee Features:- Front and Back Address Prints- 190Gm Oe 100% Cotton Jersey Fabrication- Garment Wash
https://deuscustoms.eu/products/biza-address-hoodie-black,Ibiza Address Hoodie,€129.00 EUR,"Regular fit classic address print raglan hoodie. Organic cotton 380gm brushed back fleecefabrication with a garment wash.Designed and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/ride-out-tee-vintage-white,Ride Out Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.Fabrication150gsm 100% Organic Combed Cotton Jersey"
https://deuscustoms.eu/products/clutch-tee-black,Clutch Tee,€34.30 EUR,"Flex your taste for the applied arts with our graphic tees and singlets featuring hand drawn illustrations by our art department, inspired by decades of memorable iconography of motoculture and vintage typography.Regular fit Ss shirt with front and back prints, 150gsm organic combed cotton jersey fabrication with garment wash"
https://deuscustoms.eu/products/beam-tee-anthracite,Beam Tee,€34.30 EUR,"Sometimes you just need a tee to throw on that you know is going to add a little subtle flair to a plain outfit. And if you’re looking to add some covert graphics to the wardrobe then the Beam Tee is toned down perfection. It’s regular fit, features front and chest prints and is constructed using 150gm organic combed Cotton jersey."
https://deuscustoms.eu/products/shield-standard-tee-white,Shield Standard Tee,€49.00 EUR,"TheShield Standard Teeis a part of the Deus Ex MachinaClassicsCollection.Thisregular fit classic t-shirtfeatures:●Chest embroidered Deus shield badge●190gm oe 100% cotton jersey fabrication●A garment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney.Wash Care:● Gentle machine wash with similar colours● Wash inside out● Iron print on reverse"
https://deuscustoms.eu/products/sleeping-sun-cap-natural,Sleeping Sun Cap,€39.00 EUR,"5 Panel Short Cap With Front And Back Embroidered Art, 100% CottonFabrication, D-Ring Back Adjuster And Woven Flag Label"
https://deuscustoms.eu/products/shield-standard-tee-black,Shield Standard Tee,€49.00 EUR,"TheShield Standard Teeis a part of the Deus Ex MachinaClassicsCollection.Thisregular fit classic t-shirtfeatures:●Chest embroidered Deus shield badge●190gm oe 100% cotton jersey fabrication●A garment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney.Wash Care:● Gentle machine wash with similar colours● Wash inside out● Iron print on reverse"
https://deuscustoms.eu/products/melodies-coach-jacket-anthracite,Melodies Coach Jacket,€97.30 EUR,"The Deus Surfboards heritage runs deep, and whether it was some of the dons of the game (McTavish, Pavel, NPJ, to name but a few) mowing foam in the Canggu Temple, or the next phase (watch this space), custom surfcraft has always been part of our DNA. To celebrate this crucial arm of the Deus stable comes the Melodies Coach jacket. It’s a bold take on irreverent surf fashion past. Bold, bright graphics front and back, a Cotton/Nylon fabrication, and details like branded press buttons, padded lining, drawcord and front lower pockets for wax, fin keys, ding repair kit etc."
https://deuscustoms.eu/products/all-caps-hoodie-black,All Caps Hoodie,€119.00 EUR,"The All Caps Hoodie is a part of the Deus Ex Machina Classics collection.This regular fit hoodie features:● A joey pocket● Draw cord at hood● Logo front print● 100% cotton 380gm brushed back fleece fabrication and an enzyme washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney.Wash Care:Gentle Machine wash with similar colours, Wash inside out, Do not tumble dry, Iron print on reverse."
https://deuscustoms.eu/products/venice-address-tee-anthracite,Venice Address Tee,€48.30 EUR,"Box Fit T-Shirt With Front And Back Prints, 100% Organic Cotton LooseFabrication And Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/all-caps-moto-jersey-white,All Caps Moto Jersey,€79.00 EUR,"The All Caps Moto Jersey is a part of the Deus Ex Machina Classic Collection.This regular fit long sleeve moto jersey features:● A chest panel with classic Deus print● 100% cotton mesh fabrication● A garment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/haywood-tee-oat,Haywood Tee,€48.30 EUR,"Box Fit T-Shirt With Chest And Back Prints, 220gm 100% Recycled Cottony
Jersey Fabrication With A Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/all-caps-hoodie-grey-marle,All Caps Hoodie,€119.00 EUR,"The All Caps Hoodie is a part of the Deus Ex Machina Classics collection.This regular-fit hoodie features:● Ajoey pocket● Drawcord at hood● Deus logo front print●100% cotton 380gm brushed back fleece fabrication● Enzyme washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/twilight-long-sleeve-tee-black,Twilight Long Sleeve Tee,€55.30 EUR,"There’s something about the warm clasp of elasticated wrists brushing the top of your hands that feels strangely comforting, and the Twilight Long Sleeve Tee is like a warm hug. The graphic’s straight from the tip of the art department’s brush and the fabrication’s 100% combed organic cotton.Model wears a MEDIUM and measures: chest 36""/ 92cm, height 6'1""/ 185cm"
https://deuscustoms.eu/products/breeze-coach-jacket,Breeze Coach Jacket,€111.30 EUR,"It’s not exactly Itchy and Scratchy at Deus Hq (fight fight fight etc), butthere tends to be a little back and forth on new styles. The BreezeCoach jacket was an instant and unanimous “yes”, however, as it’s toodamn clean not to merit the green light. It’s a classic coach styleconstructed using 100% Cotton-coated, water-resistant Canvas. Theprinted type front and back speaks for itself, and it’s even got a quilted,padded lining for a little extra insulation.Model is 188cm and wears a size medium."
https://deuscustoms.eu/products/stripes-trucker-black,Stripes Trucker,€39.00 EUR,"Classic Trucker Cap With Front Embroidered Patch Back Embroidered Art,100% Cotton Canvas And Poly Mesh Fabric With Plastic Snap Adjuster"
https://deuscustoms.eu/products/ivan-dad-cap-black,Ivan Dad Cap,€39.00 EUR,Classic 6 Panel Dad Cap With Front And Back Embroidered Artwork In100% Cotton Twill Fabrication With Garment Wash
https://deuscustoms.eu/products/leroy-tee-fern,Leroy Tee,€48.30 EUR,"Box Fit T-Shirt With Chest And Back Prints, 220gm 100% Recycled CottonyJersey Fabrication With A Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/crossroad-tee-black,Crossroad Tee,€34.30 EUR,"Regular Fit Tee With Chest And Back Prints, 150gm Organic Combed Cotton Jersey Fabrication With A Garment Wash"
https://deuscustoms.eu/products/portal-tee-vintage-white,Portal Tee,€34.30 EUR,"The Portal tee is a piece of wearable history, peering into an age when Illustrator wasn’t an option and if you wanted to get your message across then you had to dip your brush in the paint pot and get to work. Just a classic, regular fit tee that comes in Rocco Red or Vintage white, constructed using combed organic Cotton 150gm Jersey that’s been softened with a garment wash."
https://deuscustoms.eu/products/ivan-dad-cap-work-green,Ivan Dad Cap,€39.00 EUR,Classic 6 Panel Dad Cap With Front And Back Embroidered Artwork In100% Cotton Twill Fabrication With Garment Wash
https://deuscustoms.eu/products/sunrise-dad-cap-desert-palm,Sunrise Dad Cap,€39.00 EUR,"Classic 6 Panel Dad Cap With Front And Back Embroidered Artwork, In100% Cotton Twill With Enzyme Wash"
https://deuscustoms.eu/products/bobskull-tee-black,Bobskull Tee,€48.30 EUR,"Artist Robert Moore is as gifted with graphite as he is with a thick brush, and for the t-shirting aspect of his range, he utilised the former. The Bobskull is a lesson in effective branding from a master - the timeless design complimented by the shirt’s box fit and heavy 220gm Cotton fabrication."
https://deuscustoms.eu/products/metro-tee-work-green,Metro Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.FabricationRegular fit tee with chest and back prints, 150gm organic combed cotton jersey fabrication with a garment wash"
https://deuscustoms.eu/products/layback-tee-dirty-white,Layback Tee,€48.30 EUR,"Box Fit T-Shirt With Front And Back Prints, 100% Organic Cotton LooseFabrication And Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/new-redline-tee-vintage-white,New Redline Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.Fabrication150gsm 100% Organic Combed Cotton Jersey"
https://deuscustoms.eu/products/angels-and-demons-shirt-blue,Angels & Demons Shirt,€49.50 EUR,"The¬†Angels & Demons Shirt¬†is a part of the Deus Ex Machina 2022 Men's Summer Collection.The heat is on and our latest Summer collection has just dropped. All new tees, board shorts and caps purpose built to cool you down as the mercury starts to rise.This¬†relaxed fit¬†shirt¬†features:‚óè¬†Resort collar‚óè¬†Wooden buttons‚óè¬†Chest pocket and all over yardage print‚óè 98% cotton 2% spandex fabrication‚óè Heavy enzyme stone washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/biarritz-coach-jacket-black,Biarritz Coach Jacket,€149.00 EUR,"Part of the Deus Ex Machina Classic Collection.Regular Fit Classic Coach Jacket With Chest And Back Address Print, 100% Nylon Fabrication"
https://deuscustoms.eu/products/out-doors-tee-dirty-white,Out Doors Tee,€41.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.FabricationBox fit t-shirt with chest and back print, 50% recycled cotton 50% recycled polyester jersey fabrication with a heavy enzyme stone wash"
https://deuscustoms.eu/products/passenger-trucker-black,Passenger Trucker,€39.00 EUR,"6 Panel Low Trucker Hat, 100% Cotton Canvas Fabrication With Nylon Mesh, Front Twill Patch, Back Embroidery Logo, Plastic Snap Adjuster And Woven Flag Label100% Nylon Coin Pouch, Zip Pocket, D-Ring Attachment And Front Woven Branded Label"
https://deuscustoms.eu/products/ada-fleece-jacket-clover,Ada Fleece Jacket 1,€104.30 EUR,"The Ada Fleece Jacket is a part of the Deus Ex Machina Autumn Women's Capsule Collection.This relaxed-fit jacket features:Contrast chest patch and side patch pocketsZips, contrast ribbed cuffs and hemBonded polyester and cotton fleece with cotton fabricationRipstop trimGarment washDesigned and tested at the Deus House of Simple Pleasures, Camperdown, Sydney."
https://deuscustoms.eu/products/pro-tee-vintage-white,Pro Tee,€62.30 EUR,"The Pro Tee’s hard to pin down decade-wise (that type’s so timeless it could well be from the 60s, 70s, 80s or 90s) but its undoubtedly made for the trackside. It’s just a classic, oversized fit tee, with perfectly weighted type, that’s made from a blend of regular and recycled Cotton that’s been given a heavy enzyme wash."
https://deuscustoms.eu/products/rally-tee-anthracite,Rally Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.Fabrication150gsm 100% Organic Combed Cotton Jersey"
https://deuscustoms.eu/products/big-time-crew-anthracite,Big Time Crew,€119.00 EUR,"Box Fit Crew With Chest And Back Prints, 100% Recycled Cotton LoopBack Fleece Fabrication With A Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/layback-tee-jasper-green,Layback Tee,€48.30 EUR,"Box Fit T-Shirt With Front And Back Prints, 100% Organic Cotton LooseFabrication And Heavy Enzyme Stone Wash"
https://deuscustoms.eu/products/guesswork-trucker-brown,Guesswork Trucker,€39.00 EUR,"Napoleon, Robin Hood, Sam Jackson; the list of lofty historical figures associated with a signature head piece goes on and on. Guarantee your place in the books with a robust and finely tuned array of accessories."
https://deuscustoms.eu/products/baylands-chest-rash-black,Baylands Chest Rash,€65.00 EUR,"- Long Sleeve Performance Surf Shirt with Front Print- 6 oz 80% Polymide 20% Elastane Fabrication- 50+ UPF Protection and Ultraviolet Protection-Wash Care: gentle machine wash with similar colors, wash inside out"
https://deuscustoms.eu/products/beam-tee-loden-green,Beam Tee,€34.30 EUR,"Sometimes you just need a tee to throw on that you know is going to add a little subtle flair to a plain outfit. And if you’re looking to add some covert graphics to the wardrobe then the Beam Tee is toned down perfection. It’s regular fit, features front and chest prints and is constructed using 150gm organic combed Cotton jersey."
https://deuscustoms.eu/products/mini-tee-lichen-green,Mini Tee,€34.30 EUR,"Defined in equal measure by their ubiquity and versatility, a graphic tee is the perfect prism through which to channel our synthesised vision of moto culture from decades past.Fabrication150gsm 100% Organic Combed Cotton Jersey"
